ID,Term,Language_Type,Major1,Major2,Major3,Minors
335795,1191,A,COMP,MATH,,
335806,1191,A,PHYS,,,
335848,1191,A,COMP,,,
339657,1191,A,COMP,MATH,,
339643,1191,A,COMP,GOVT,,ECON-MN
356313,1191,A,FILM,,,
339658,1191,A,CHEM,CIS,,
356317,1191,A,GOVT,,,
356439,1191,A,MATH,,,
332560,1191,A,PHYS,,,
355314,1191,A,E&ES,,,IDEA-MN
356401,1191,A,E&ES,ENVS,,
356588,1191,A,ARST,,,ARHA-MN
339374,1191,A,PHIL,,,
356601,1191,A,ENGL,HIST,,
339655,1191,A,GOVT,HIST,,
356580,1191,A,ECON,ENGL,,DATA-MN
333849,1191,A,PHIL,,,CEAS-MN
339364,1191,A,ENGL,,,EDST-MN
339411,1191,A,GOVT,SOC,,
339545,1191,A,NS&B,,,ARHA-MN
355316,1191,A,FILM,,,
356541,1191,A,ECON,GOVT,,DATA-MN
339527,1191,A,AMST,ENGL,,FILM-MN
339666,1191,A,ECON,HIST,,
356535,1191,A,ECON,PSYC,,EDST-MN
355353,1191,A,GOVT,UNIV,,
356318,1191,A,AFAM,,,
362329,1191,A,CCIV,COL,,
335353,1191,A,COMP,PHYS,,
356496,1191,A,CEAS,GOVT,,
339679,1191,A,CEAS,,,
339376,1191,A,CEAS,HIST,,
361699,1191,A,CEAS,GOVT,,
355359,1191,A,ENGL,FGSS,,CEAS-MN
356366,1191,A,GOVT,MUSC,,
355386,1191,A,COMP,,,DATA-MN
356522,1191,A,E&ES,SISP,,
356462,1191,A,SISP,,,
339415,1191,A,GOVT,,,
355319,1191,A,AFAM,PSYC,,
356551,1191,A,COMP,,,
361594,1191,A,MUSC,,,
356482,1191,B,COMP,MATH,,
356796,1191,B,COMP,MATH,,
355337,1191,B,HIST,,,
355393,1191,B,ECON,PSYC,,
356458,1191,B,AMST,ENGL,,
356516,1191,B,GOVT,,,
355546,1191,B,ARST,HIST,,ARHA-MN
356478,1191,B,GOVT,HIST,,
356368,1191,B,NS&B,PSYC,SISP,
339360,1191,B,PSYC,,,EDST-MN
339650,1191,B,ANTH,PSYC,,DATA-MN
356519,1191,B,ANTH,,,
356628,1191,B,RELI,,,HIST-MN
356942,1191,B,ARST,,,
339434,1191,B,BIOL,,,DATA-MN
339441,1191,B,BIOL,NS&B,,
339620,1191,B,BIOL,,,
356310,1191,B,PSYC,,,
356324,1191,B,FGSS,NS&B,,
356327,1191,B,GOVT,MB&B,,
356623,1191,B,ECON,PSYC,,
355293,1191,B,E&ES,,,IDEA-MN
339629,1191,B,SOC,,,
356460,1191,B,SOC,,,"DANC-MN,DATA-MN"
333845,1191,B,PSYC,SISP,,
356483,1191,B,PSYC,,,
356585,1191,B,ECON,,,FILM-MN
356687,1191,B,ECON,ENVS,MATH,
361583,1191,B,ENGL,SOC,,
335799,1191,B,GOVT,,,EDST-MN
339367,1191,B,ECON,PSYC,,
339608,1191,B,ECON,GOVT,,DATA-MN
356632,1191,B,HIST,,,ECON-MN
355398,1191,B,SOC,,,DATA-MN
339465,1191,C,CEAS,,,
361727,1191,C,COMP,HIST,,
356330,1191,C,FRST,GOVT,,
356508,1191,C,FRST,RELI,,DATA-MN
356678,1191,C,ECON,GOVT,,CEAS-MN
356559,1191,C,AMST,ENVS,,
355404,1191,C,E&ES,ENVS,,
336432,1191,C,CEAS,GOVT,,
339612,1191,C,CEAS,,,
355368,1191,C,CEAS,,,
356301,1191,C,CEAS,PSYC,,
356353,1191,C,CEAS,,,"FRST-MN,IDEA-MN"
356499,1191,C,CEAS,GOVT,,
356528,1191,C,CHEM,NS&B,,CEAS-MN
356431,1191,D,AMST,,,
339446,1191,D,ECON,LAST,,
339421,1191,D,ENVS,HIST,,
356438,1191,D,AFAM,,,
356610,1191,D,GOVT,LAST,,
339397,1191,D,ENGL,ITST,,
339486,1191,D,ITST,NS&B,,
